"","X","url","id","Lng","Lat","Cid","tradeTime","DOM","followers","totalPrice","price","square","livingRoom","drawingRoom","kitchen","bathRoom","floor","buildingType","constructionTime","renovationCondition","buildingStructure","ladderRatio","elevator","fiveYearsProperty","subway","district","communityAverage"
"1568",1568,"https://bj.lianjia.com/chengjiao/101091671741.html","101091671741",116.613977,39.936277,1111041180757,"2016-06-27",117,74,304,34066,89.24,2,"1",1,1,"low 26",1,2010,4,6,0.333,1,1,0,7,42298
"1569",1569,"https://bj.lianjia.com/chengjiao/101091671935.html","101091671935",116.26973,39.901123,1111027380520,"2016-07-28",148,108,240,32207,74.52,2,"1",1,1,"bottom 16",1,1995,3,6,0.154,1,1,0,2,52101
"1570",1570,"https://bj.lianjia.com/chengjiao/101091672362.html","101091672362",116.578313,39.907903,1111027373774,"2016-09-14",196,165,187,37400,50,2,"0",1,1,"mid 5",4,1984,2,2,0.333,0,0,0,7,44253
"1571",1571,"https://bj.lianjia.com/chengjiao/101091672363.html","101091672363",116.235609,40.230534,1111027375191,"2016-07-11",130,25,140,23961,58.43,1,"0",1,1,"low 12",1,2005,4,6,0.333,1,1,1,6,37335
"1572",1572,"https://bj.lianjia.com/chengjiao/101091672478.html","101091672478",116.233846,39.905003,1111027380227,"2016-07-28",148,40,355,39978,88.8,3,"1",1,1,"bottom 6",4,1993,4,2,0.333,0,0,0,9,48951
"1573",1573,"https://bj.lianjia.com/chengjiao/101091672511.html","101091672511",116.344224,39.881161,1111027377263,"2017-02-27",362,81,1170,70533,165.88,3,"2",1,2,"high 22",1,2000,4,6,0.25,1,1,0,2,71559
"1574",1574,"https://bj.lianjia.com/chengjiao/101091672580.html","101091672580",116.229624,39.915004,1111027378058,"2016-09-28",209,56,218,43384,50.25,2,"1",1,1,"low 6",4,1983,4,6,0.5,0,0,0,9,51471
"1575",1575,"https://bj.lianjia.com/chengjiao/101091672582.html","101091672582",116.436598,39.957151,1111027378418,"2016-12-18",290,75,618,82400,75,2,"1",1,1,"low 6",4,2000,3,6,0.25,0,1,1,1,85466
"1576",1576,"https://bj.lianjia.com/chengjiao/101091672710.html","101091672710",116.49983,39.94453,1111027374569,"2016-07-31",151,32,1143,71438,160,3,"2",1,2,"high 28",3,2006,4,6,0.667,1,0,0,7,91231
"1577",1577,"https://bj.lianjia.com/chengjiao/101091672828.html","101091672828",116.342088,39.749733,1111027378968,"2016-06-29",118,20,199.5,29189,68.35,2,"1",1,1,"high 6",4,1995,3,2,0.167,0,0,1,4,41149
"1578",1578,"https://bj.lianjia.com/chengjiao/101091672855.html","101091672855",116.50891,39.920223,1111027376915,"2016-07-08",128,9,555,41546,133.59,2,"2",1,2,"high 20",1,NA,3,6,0.375,1,0,1,7,61931
"1579",1579,"https://bj.lianjia.com/chengjiao/101091672893.html","101091672893",116.308482,39.943704,1111027376159,"2016-08-12",162,68,355,64546,55,2,"1",1,1,"low 6",4,1980,3,2,0.333,0,0,1,8,76783
"1580",1580,"https://bj.lianjia.com/chengjiao/101091672954.html","101091672954",116.32616,40.046586,1111027381904,"2016-06-24",113,24,756,53893,140.28,3,"2",1,2,"mid 9",4,2001,4,6,0.5,1,1,0,8,64123
"1581",1581,"https://bj.lianjia.com/chengjiao/101091672991.html","101091672991",116.629641,39.911449,1111027377284,"2016-07-31",150,48,310,31633,98,2,"2",1,1,"low 22",1,2002,4,6,0.25,1,1,1,11,41048
"1582",1582,"https://bj.lianjia.com/chengjiao/101091673419.html","101091673419",116.450152,39.910913,1111027378283,"2016-07-29",149,31,860,45474,189.12,4,"2",1,3,"low 12",1,2004,4,6,0.5,1,0,1,7,65170
"1583",1583,"https://bj.lianjia.com/chengjiao/101091673550.html","101091673550",116.543161,40.097129,1111041170735,"2016-06-27",116,17,460,41599,110.58,2,"1",1,2,"high 14",4,2013,1,6,0.667,1,0,0,13,58692
"1584",1584,"https://bj.lianjia.com/chengjiao/101091673556.html","101091673556",116.376025,40.084133,1111027375154,"2016-06-22",111,39,178.5,40294,44.3,1,"0",1,1,"low 6",4,2001,4,2,0.143,0,0,1,6,50014
"1585",1585,"https://bj.lianjia.com/chengjiao/101091673761.html","101091673761",116.338639,40.079333,1111027378111,"2016-08-09",160,119,380,32136,118.25,3,"2",1,1,"mid 6",4,2003,1,2,0.5,0,1,1,6,40638
"1586",1586,"https://bj.lianjia.com/chengjiao/101091674193.html","101091674193",116.417472,39.862988,1111027382278,"2016-08-09",159,90,320,45352,70.56,1,"1",1,1,"mid 24",1,2006,4,6,0.3,1,1,1,2,50960
"1587",1587,"https://bj.lianjia.com/chengjiao/101091674222.html","101091674222",116.441446,39.943621,1111027374081,"2016-09-26",207,123,398,99675,39.93,1,"1",1,1,"low 18",3,1991,4,2,0.167,1,1,1,1,94958
"1588",1588,"https://bj.lianjia.com/chengjiao/101091674249.html","101091674249",116.419258,39.895239,1111027380009,"2016-08-27",177,108,335,63018,53.16,2,"1",1,1,"mid 6",4,1980,3,2,0.2,0,0,1,1,75786
"1589",1589,"https://bj.lianjia.com/chengjiao/101091674421.html","101091674421",116.427853,39.966824,1111027375203,"2016-07-29",148,80,329,81436,40.4,1,"1",1,1,"low 5",4,1987,3,4,0.333,0,1,1,1,85073
"1590",1590,"https://bj.lianjia.com/chengjiao/101091675014.html","101091675014",116.295909,40.047888,1111027373994,"2016-07-08",127,10,305,50919,59.9,2,"1",1,1,"high 6",4,1992,3,2,0.5,0,1,0,8,66141
"1591",1591,"https://bj.lianjia.com/chengjiao/101091675561.html","101091675561",116.46615,39.963231,1111027382221,"2016-08-24",174,12,1080,53461,202.02,4,"2",1,2,"low 27",1,2005,4,6,0.333,1,0,1,7,72589
"1592",1592,"https://bj.lianjia.com/chengjiao/101091675840.html","101091675840",116.200745,39.912236,1111027376310,"2016-09-20",201,30,305,32506,93.83,2,"1",1,1,"low 27",1,NA,3,2,0.25,1,0,1,9,43010
"1593",1593,"https://bj.lianjia.com/chengjiao/101091675862.html","101091675862",116.247008,39.906426,1111027382209,"2016-08-15",165,9,571,57100,100,2,"1",1,1,"bottom 26",3,2005,4,6,0.286,1,1,1,9,64222
"1594",1594,"https://bj.lianjia.com/chengjiao/101091675868.html","101091675868",116.391726,39.978788,1111027382272,"2016-07-28",148,36,770,92437,83.3,3,"1",1,1,"low 20",1,1990,3,2,0.286,1,1,1,10,121898
"1595",1595,"https://bj.lianjia.com/chengjiao/101091676158.html","101091676158",116.565327,40.069623,1111027379494,"2016-08-29",179,19,748,31167,240,5,"2",1,3,"mid 5",4,2004,4,2,1,0,0,0,13,51223
"1596",1596,"https://bj.lianjia.com/chengjiao/101091676167.html","101091676167",116.561978,39.877145,1111040862969,"2016-07-21",140,28,690,41539,166.11,3,"3",1,2,"mid 4",4,2009,4,6,0.5,1,0,0,7,48160
"1597",1597,"https://bj.lianjia.com/chengjiao/101091676321.html","101091676321",116.188935,40.054103,1111027379217,"2016-09-05",186,5,159,26500,60,1,"1",1,1,"high 10",1,2012,4,6,0.222,1,0,0,8,56762
"1598",1598,"https://bj.lianjia.com/chengjiao/101091676438.html","101091676438",116.439341,40.082372,1111027380043,"2016-07-05",124,60,340,20194,168.37,3,"2",1,2,"high 7",4,2005,4,2,0.5,0,0,0,6,38281
"1599",1599,"https://bj.lianjia.com/chengjiao/101091676597.html","101091676597",116.365602,40.094493,1111027377956,"2016-08-09",159,37,365,40980,89.07,2,"1",1,1,"high 6",4,2004,3,2,0.5,0,1,1,6,40004
"1600",1600,"https://bj.lianjia.com/chengjiao/101091676739.html","101091676739",116.386145,39.998849,1111027375668,"2016-06-30",120,34,395,54968,71.86,3,"1",1,1,"low 6",4,1990,3,2,0.5,0,1,0,7,67384
"1601",1601,"https://bj.lianjia.com/chengjiao/101091676796.html","101091676796",116.320453,40.039032,1111046342806,"2016-07-03",122,49,539,119778,45,1,"1",1,1,"bottom 6",4,1998,4,2,0.5,0,1,1,8,107251
"1602",1602,"https://bj.lianjia.com/chengjiao/101091676898.html","101091676898",116.47773,40.002156,1111027380317,"2016-07-30",149,73,486,53232,91.3,2,"2",1,1,"high 26",1,1998,2,6,0.25,1,1,1,7,60348
"1603",1603,"https://bj.lianjia.com/chengjiao/101091676957.html","101091676957",116.648422,40.137571,1111027381324,"2016-08-08",158,28,190,29955,63.43,1,"1",1,1,"low 5",4,1994,3,2,0.5,0,1,1,13,39215
"1604",1604,"https://bj.lianjia.com/chengjiao/101091677094.html","101091677094",116.455939,39.94241,1111027379391,"2016-07-30",149,47,820,61392,133.57,2,"2",1,2,"high 27",3,2007,4,6,0.75,1,0,0,7,72381
"1605",1605,"https://bj.lianjia.com/chengjiao/101091677254.html","101091677254",116.47773,40.002156,1111027380317,"2016-07-26",145,87,616,46247,133.2,4,"1",1,2,"mid 26",1,1998,1,6,0.25,1,0,1,7,60348
"1606",1606,"https://bj.lianjia.com/chengjiao/101091677570.html","101091677570",116.359358,39.964464,1111027381399,"2016-09-17",198,27,334.4,50992,65.58,1,"1",1,1,"high 21",1,2010,4,6,0.158,1,1,0,8,77025
"1607",1607,"https://bj.lianjia.com/chengjiao/101091678014.html","101091678014",116.309252,39.977842,1111027374006,"2016-09-25",206,17,565,90924,62.14,2,"1",1,1,"low 18",1,NA,3,6,0.2,1,1,1,8,95667
"1608",1608,"https://bj.lianjia.com/chengjiao/101091678213.html","101091678213",116.431165,39.874515,1111027374223,"2016-07-22",141,29,192,44240,43.4,1,"1",1,1,"low 14",3,1992,3,6,0.286,1,0,1,2,66505
"1609",1609,"https://bj.lianjia.com/chengjiao/101091678640.html","101091678640",116.229624,39.915004,1111027378058,"2016-07-13",132,40,228,37013,61.6,3,"1",1,1,"low 6",4,1984,4,6,0.5,0,0,1,9,51471
"1610",1610,"https://bj.lianjia.com/chengjiao/101091678650.html","101091678650",116.413053,39.962564,1111027378889,"2016-08-07",157,35,443,66697,66.42,2,"1",1,1,"low 6",4,1992,3,2,0.5,0,0,1,1,80845
"1611",1611,"https://bj.lianjia.com/chengjiao/101091678791.html","101091678791",116.407662,40.052673,1111027377553,"2016-09-18",199,30,476,41298,115.26,3,"2",1,2,"low 6",4,2005,4,2,0.5,0,1,0,6,49861
"1612",1612,"https://bj.lianjia.com/chengjiao/101091678809.html","101091678809",116.489254,40.006445,1111027376202,"2016-07-19",137,32,660,60673,108.78,2,"2",1,1,"high 25",3,2006,4,6,0.5,1,0,1,7,75993
"1613",1613,"https://bj.lianjia.com/chengjiao/101091678945.html","101091678945",116.347685,39.792197,1111047168935,"2016-07-20",138,22,252,40379,62.41,1,"1",1,1,"low 21",4,2014,2,6,0.5,1,0,0,4,54858
"1614",1614,"https://bj.lianjia.com/chengjiao/101091678955.html","101091678955",116.409805,39.969951,1111027375603,"2016-07-15",134,47,350,60345,58,2,"2",1,1,"bottom 6",4,1987,3,2,0.5,0,0,1,7,71432
"1615",1615,"https://bj.lianjia.com/chengjiao/101091679139.html","101091679139",116.435839,39.933367,1111027376504,"2016-07-16",135,25,506,123415,41,1,"1",1,1,"mid 6",4,1993,3,2,0.25,0,0,1,1,128668
"1616",1616,"https://bj.lianjia.com/chengjiao/101091679169.html","101091679169",116.434254,39.935275,1111027378565,"2016-07-28",147,78,715,105723,67.63,2,"1",1,1,"mid 6",4,2003,3,6,0.5,0,1,0,1,122506
"1617",1617,"https://bj.lianjia.com/chengjiao/101091679170.html","101091679170",116.395668,39.957522,1111027375570,"2016-08-11",161,38,542,91400,59.3,2,"1",1,1,"mid 6",4,1985,4,2,0.2,0,0,1,10,122170
"1618",1618,"https://bj.lianjia.com/chengjiao/101091679209.html","101091679209",116.264621,40.087404,1111027376165,"2016-07-27",146,98,538,54333,99.02,2,"1",1,1,"mid 11",4,2010,3,6,0.25,1,1,0,8,65768
"1619",1619,"https://bj.lianjia.com/chengjiao/101091679265.html","101091679265",116.421128,40.068301,1111027377809,"2017-02-26",360,5,154,27911,55.17,1,"1",1,1,"low 12",3,2008,4,6,0.167,1,0,1,6,24224
"1620",1620,"https://bj.lianjia.com/chengjiao/101091679366.html","101091679366",116.429293,39.872461,1111027374678,"2016-07-19",138,54,212.5,45213,47,1,"1",1,1,"low 30",1,2005,4,6,0.143,1,0,1,2,61390
"1621",1621,"https://bj.lianjia.com/chengjiao/101091679378.html","101091679378",116.363486,40.077967,1111027378209,"2016-06-21",110,152,295,30413,97,2,"1",1,1,"low 5",4,2006,2,2,0.5,0,1,1,6,42044
"1622",1622,"https://bj.lianjia.com/chengjiao/101091679434.html","101091679434",116.422479,40.06389,1111027375783,"2016-08-05",155,99,175,31848,54.95,1,"0",1,1,"mid 19",1,2004,3,6,0.15,1,0,1,6,43211
"1623",1623,"https://bj.lianjia.com/chengjiao/101091679604.html","101091679604",116.513785,39.869796,1111027374371,"2016-08-21",170,21,235,39770,59.09,2,"1",1,1,"bottom 6",4,1984,3,4,0.333,0,1,1,7,46725
"1624",1624,"https://bj.lianjia.com/chengjiao/101091679826.html","101091679826",116.359171,39.886349,1111027377111,"2016-08-14",164,75,920,54332,169.33,4,"2",2,2,"mid 17",3,1999,3,6,0.25,1,1,0,10,85290
"1625",1625,"https://bj.lianjia.com/chengjiao/101091679985.html","101091679985",116.435763,39.798071,1111027379000,"2016-07-04",122,39,180,32919,54.68,1,"1",1,1,"mid 10",3,2010,3,6,0.2,1,0,0,2,43366
"1626",1626,"https://bj.lianjia.com/chengjiao/101091680113.html","101091680113",116.344093,39.814005,1111027378946,"2016-07-28",147,30,310,35445,87.46,2,"1",1,1,"mid 9",4,2011,4,6,0.333,1,0,0,2,43889
"1627",1627,"https://bj.lianjia.com/chengjiao/101091680244.html","101091680244",116.314787,39.981606,1111027374928,"2016-08-31",181,59,910,80531,113,4,"1",1,1,"low 11",3,1988,4,6,0.333,0,1,1,8,92592
"1628",1628,"https://bj.lianjia.com/chengjiao/101091680347.html","101091680347",116.439341,40.082372,1111027380043,"2016-07-31",150,49,315,20731,151.95,4,"1",1,2,"low 6",4,2004,1,2,0.333,0,1,0,6,38281
"1629",1629,"https://bj.lianjia.com/chengjiao/101091680389.html","101091680389",116.257104,39.873962,1111027380345,"2016-08-25",174,223,170,53125,32,1,"1",1,1,"mid 9",3,2011,4,6,0.154,1,1,1,2,70205
"1630",1630,"https://bj.lianjia.com/chengjiao/101091680959.html","101091680959",116.45831,39.923422,1111027379317,"2016-09-05",186,16,360,62938,57.2,1,"0",1,1,"mid 29",1,NA,1,6,0.231,1,0,1,7,75090
"1631",1631,"https://bj.lianjia.com/chengjiao/101091681157.html","101091681157",116.320535,39.890098,1111027379963,"2016-07-31",149,186,185,38027,48.65,1,"1",1,1,"mid 15",1,1991,3,6,0.059,1,0,1,2,58959
"1632",1632,"https://bj.lianjia.com/chengjiao/101091681317.html","101091681317",116.381531,40.089564,1111027377943,"2016-07-04",122,67,278,27425,101.37,2,"1",1,1,"high 6",4,2009,3,2,0.5,0,1,0,6,37961
"1633",1633,"https://bj.lianjia.com/chengjiao/101091681357.html","101091681357",116.352941,39.904679,1111027376247,"2016-09-11",191,59,520,93358,55.7,2,"1",1,1,"low 5",4,1979,3,2,0.333,0,1,0,10,110308
"1634",1634,"https://bj.lianjia.com/chengjiao/101091681543.html","101091681543",116.291921,40.146327,1111043196439,"2016-07-31",150,27,900,31986,281.38,5,"4",1,4,"bottom 4",NA,2013,4,6,0.5,0,0,0,6,48793
"1635",1635,"https://bj.lianjia.com/chengjiao/101091681549.html","101091681549",116.557273,39.918665,1111027376870,"2016-07-31",150,108,345,35781,96.42,3,"1",1,1,"low 18",1,2002,4,6,0.167,1,1,1,7,49260
"1636",1636,"https://bj.lianjia.com/chengjiao/101091681725.html","101091681725",116.432684,40.077562,1111027380057,"2016-06-26",115,53,373,26940,138.46,3,"2",1,2,"mid 21",1,2008,4,6,0.25,1,1,0,6,38384
"1637",1637,"https://bj.lianjia.com/chengjiao/101091682235.html","101091682235",116.236106,39.899968,1111027382550,"2016-07-09",128,16,340,36781,92.44,2,"1",1,1,"high 24",1,2003,4,6,0.25,1,1,0,9,49581
"1638",1638,"https://bj.lianjia.com/chengjiao/101091682387.html","101091682387",116.429957,40.182129,1111027378575,"2016-07-01",119,11,920,28273,325.41,4,"3",1,3,"bottom 2",NA,2006,4,5,1,0,0,0,6,42614
"1639",1639,"https://bj.lianjia.com/chengjiao/101091682389.html","101091682389",116.512916,39.864254,1111027376354,"2016-07-13",132,80,293.5,33436,87.78,2,"2",1,1,"low 6",4,2004,4,6,0.5,0,1,0,7,46072
"1640",1640,"https://bj.lianjia.com/chengjiao/101091682589.html","101091682589",116.475021,40.010031,1111027380312,"2016-08-01",150,13,462,47192,97.9,2,"2",1,1,"mid 28",1,2001,4,6,0.25,1,1,1,7,55316
"1641",1641,"https://bj.lianjia.com/chengjiao/101091682766.html","101091682766",116.400524,39.958938,1111027375578,"2016-09-18",198,58,559,89241,62.64,3,"1",1,1,"bottom 12",1,1989,4,6,0.333,1,1,1,1,96140
"1642",1642,"https://bj.lianjia.com/chengjiao/101091682939.html","101091682939",116.455694,39.807011,1111027381865,"2016-07-18",136,53,519,33385,155.46,4,"2",1,2,"bottom 6",4,2002,4,6,0.5,0,1,0,4,45246
"1643",1643,"https://bj.lianjia.com/chengjiao/101091683014.html","101091683014",116.37785,39.842419,1111027374041,"2016-06-30",119,55,125,28410,44,1,"0",1,1,"mid 21",1,2009,4,6,0.138,1,0,1,2,38915
"1644",1644,"https://bj.lianjia.com/chengjiao/101091683160.html","101091683160",116.441833,39.866749,1111027374411,"2016-10-27",237,130,337,58104,58,2,"1",1,1,"mid 6",4,1995,3,2,0.333,0,0,1,2,60626
"1645",1645,"https://bj.lianjia.com/chengjiao/101091683185.html","101091683185",116.520858,39.918846,1111027377634,"2016-09-14",194,35,348,38267,90.94,2,"1",1,1,"mid 6",4,1997,3,2,0.25,0,0,1,7,56752
"1646",1646,"https://bj.lianjia.com/chengjiao/101091683317.html","101091683317",116.431552,40.082903,1111027380040,"2016-08-30",179,4,347,28917,120,2,"1",1,2,"mid 17",4,2005,1,6,0.333,1,1,0,6,36869
"1647",1647,"https://bj.lianjia.com/chengjiao/101091683352.html","101091683352",116.430722,39.860989,1111027382305,"2016-07-19",138,43,329,29640,111,2,"1",1,1,"low 22",1,NA,3,6,0.25,1,1,1,2,48538
"1648",1648,"https://bj.lianjia.com/chengjiao/101091683367.html","101091683367",116.343687,40.08052,1111027378114,"2016-07-06",124,27,345,26248,131.44,3,"2",1,2,"low 6",4,2003,3,2,0.5,0,1,1,6,41629
"1649",1649,"https://bj.lianjia.com/chengjiao/101091683558.html","101091683558",116.224012,39.763726,1111053458322,"2016-10-24",234,94,358,40113,89.25,3,"1",1,1,"high 20",3,2012,2,6,0.5,1,0,0,5,38758
"1650",1650,"https://bj.lianjia.com/chengjiao/101091683565.html","101091683565",116.432684,40.077562,1111027380057,"2016-06-16",104,13,410,20720,197.88,3,"2",1,2,"bottom 12",4,2008,1,6,0.5,1,0,0,6,38384
"1651",1651,"https://bj.lianjia.com/chengjiao/101091683806.html","101091683806",116.429963,39.963815,1111027375199,"2016-08-26",175,33,705,80160,87.95,2,"1",1,1,"mid 21",1,2006,4,6,0.25,1,1,1,1,94271
"1652",1652,"https://bj.lianjia.com/chengjiao/101091684021.html","101091684021",116.572491,39.853078,1111027374301,"2016-06-16",104,23,514.2,36067,142.57,3,"2",1,2,"high 22",3,2005,4,6,0.667,1,0,0,7,48141
"1653",1653,"https://bj.lianjia.com/chengjiao/101091684102.html","101091684102",116.384092,39.96456,1111027381059,"2016-07-24",143,36,592,93969,63,2,"1",1,1,"low 14",3,1989,3,2,0.5,1,1,0,10,122633
"1654",1654,"https://bj.lianjia.com/chengjiao/101091684203.html","101091684203",116.520858,39.918846,1111027377634,"2016-06-29",118,49,253,40480,62.5,2,"1",1,1,"high 6",4,NA,4,4,0.333,0,0,1,7,56752
"1655",1655,"https://bj.lianjia.com/chengjiao/101091684269.html","101091684269",116.679737,40.219508,1111046920919,"2016-06-17",105,6,480,21239,226,4,"2",1,3,"mid 4",NA,2013,2,6,0.5,1,0,0,13,27425
"1656",1656,"https://bj.lianjia.com/chengjiao/101091684287.html","101091684287",116.410078,39.96471,1111027375259,"2016-07-28",146,82,420.1,71960,58.38,2,"1",1,1,"low 6",4,1990,3,2,0.333,0,0,1,1,84458
"1657",1657,"https://bj.lianjia.com/chengjiao/101091684666.html","101091684666",116.493655,39.905367,1111027375357,"2016-06-22",110,80,435,50214,86.63,2,"1",1,1,"low 28",1,2005,4,6,0.3,1,1,1,7,68964
"1658",1658,"https://bj.lianjia.com/chengjiao/101091684913.html","101091684913",116.328627,39.979037,1111027382321,"2016-09-11",191,40,511,83090,61.5,2,"1",1,1,"bottom 6",4,1988,3,2,0.333,0,1,1,8,96866
"1659",1659,"https://bj.lianjia.com/chengjiao/101091684929.html","101091684929",116.589955,39.920154,1111027379152,"2016-07-14",132,62,146.5,32556,45,1,"0",1,1,"low 9",3,2009,3,6,0.5,1,0,1,7,45616
"1660",1660,"https://bj.lianjia.com/chengjiao/101091684975.html","101091684975",116.473695,39.876155,1111027373742,"2016-08-07",156,16,506,33804,149.69,3,"2",1,2,"low 22",1,2001,3,6,0.2,1,1,1,7,55756
"1661",1661,"https://bj.lianjia.com/chengjiao/101091684995.html","101091684995",116.386248,40.069552,1111027374292,"2016-07-26",144,23,432,48447,89.17,2,"1",1,1,"mid 18",3,2008,1,6,0.5,1,0,0,8,62070
"1662",1662,"https://bj.lianjia.com/chengjiao/101091685048.html","101091685048",116.446534,39.959314,1111027377820,"2016-07-21",139,101,305,53726,56.77,2,"1",1,1,"low 18",1,1988,3,6,0.286,1,1,1,7,71842
"1663",1663,"https://bj.lianjia.com/chengjiao/101091685449.html","101091685449",116.445785,40.077726,1111027380050,"2016-07-14",132,19,297,27500,108,2,"1",1,1,"high 6",4,2002,3,2,0.5,0,1,0,6,36411
"1664",1664,"https://bj.lianjia.com/chengjiao/101091685461.html","101091685461",116.445785,40.077726,1111027380050,"2017-09-28",573,139,507,29575,171.43,3,"2",1,2,"high 7",4,2002,3,2,0.5,0,0,0,6,36411
"1665",1665,"https://bj.lianjia.com/chengjiao/101091685588.html","101091685588",116.46603,40.011663,1111027373694,"2016-10-11",221,53,1720,71299,241.24,3,"2",1,2,"bottom 28",4,2010,4,6,1,1,0,1,7,102606
"1666",1666,"https://bj.lianjia.com/chengjiao/101091685657.html","101091685657",116.35566,39.925071,1111027379132,"2016-08-08",157,145,475,80646,58.9,2,"1",1,1,"mid 5",4,1960,3,2,0.333,0,1,1,10,94570
"1667",1667,"https://bj.lianjia.com/chengjiao/101091685678.html","101091685678",116.295873,39.867642,1111027382671,"2016-07-17",135,23,319,43497,73.34,1,"2",1,1,"mid 21",1,2004,4,6,0.25,1,0,1,2,59738
"1668",1668,"https://bj.lianjia.com/chengjiao/101091685802.html","101091685802",116.308152,39.986695,1111027373995,"2016-07-22",140,34,660,74409,88.7,2,"1",1,1,"mid 16",3,1992,3,6,0.25,1,1,1,8,93192
"1669",1669,"https://bj.lianjia.com/chengjiao/101091685958.html","101091685958",116.35814,40.088663,1111027377954,"2016-06-19",107,11,381.8,37108,102.89,2,"1",1,2,"low 6",4,2005,4,2,0.5,0,0,1,6,43429
"1670",1670,"https://bj.lianjia.com/chengjiao/101091686049.html","101091686049",116.308152,39.986695,1111027373995,"2016-06-26",114,42,565,65168,86.7,3,"1",1,1,"low 16",3,1992,3,6,0.25,1,1,1,8,93192
"1671",1671,"https://bj.lianjia.com/chengjiao/101091686135.html","101091686135",116.471754,40.02946,1111027376127,"2016-09-29",209,52,755,87072,86.71,2,"1",1,1,"mid 25",3,2009,4,6,0.667,1,0,1,7,76292
"1672",1672,"https://bj.lianjia.com/chengjiao/101091686297.html","101091686297",116.445996,40.069568,1111027380049,"2016-08-18",166,48,300,20177,148.69,3,"1",1,2,"mid 7",4,2001,3,2,0.5,0,0,0,6,38156
"1673",1673,"https://bj.lianjia.com/chengjiao/101091686340.html","101091686340",116.670101,40.118729,1111027379626,"2016-09-10",190,87,288.5,31652,91.15,3,"1",1,1,"mid 16",3,2001,4,2,1.5,1,0,0,13,34694
"1674",1674,"https://bj.lianjia.com/chengjiao/101091686570.html","101091686570",116.497552,39.96603,1111027378010,"2016-08-13",162,152,290,41727,69.5,1,"1",1,1,"bottom 10",4,2003,4,6,0.25,1,1,1,7,60578
"1675",1675,"https://bj.lianjia.com/chengjiao/101091686573.html","101091686573",116.594886,39.910677,1111027376678,"2016-07-04",122,77,141,33636,41.92,1,"0",1,1,"bottom 15",1,2006,3,6,0.6,1,1,0,7,45177
"1676",1676,"https://bj.lianjia.com/chengjiao/101091686602.html","101091686602",116.435611,39.948432,1111027374074,"2016-06-28",116,85,585,77035,75.94,2,"1",1,1,"mid 14",3,2002,3,6,1.333,1,1,1,1,101657
"1677",1677,"https://bj.lianjia.com/chengjiao/101091686729.html","101091686729",116.347288,39.886583,1111027376721,"2016-07-11",129,74,530,66903,79.22,2,"1",1,1,"unkown 6",4,NA,3,2,0.5,0,1,0,10,78990
"1678",1678,"https://bj.lianjia.com/chengjiao/101091686759.html","101091686759",116.415742,40.077796,1111027380053,"2017-03-29",390,76,441,51592,85.48,2,"1",1,1,"mid 32",1,2003,4,2,0.3,1,0,1,6,37661
"1679",1679,"https://bj.lianjia.com/chengjiao/101091686820.html","101091686820",116.342088,39.749733,1111027378968,"2016-08-14",163,51,240,32442,73.98,3,"1",1,1,"mid 6",4,1990,4,2,0.5,0,1,1,4,41149
"1680",1680,"https://bj.lianjia.com/chengjiao/101091686868.html","101091686868",116.453086,39.898397,1111027374519,"2016-09-15",195,24,455,48925,93,1,"1",1,1,"high 23",1,2009,4,6,0.308,1,0,1,1,78590
"1681",1681,"https://bj.lianjia.com/chengjiao/101091687081.html","101091687081",116.376822,39.924055,1111027374449,"2016-06-16",104,17,1320,136223,96.9,4,"1",1,1,"mid 6",4,1985,3,2,0.5,0,0,1,10,150802
"1682",1682,"https://bj.lianjia.com/chengjiao/101091687178.html","101091687178",116.340073,39.899642,1111027380656,"2016-08-11",160,21,350,53031,66,1,"0",1,1,"low 25",1,2012,4,6,0.25,1,0,1,10,101676
"1683",1683,"https://bj.lianjia.com/chengjiao/101091687443.html","101091687443",116.508909,39.868786,1111027377021,"2016-08-03",151,104,254,38755,65.54,1,"1",1,1,"low 13",3,2005,3,6,0.333,1,0,1,7,51007
"1684",1684,"https://bj.lianjia.com/chengjiao/101091687526.html","101091687526",116.43942,40.072066,1111027380051,"2016-10-10",219,29,720,17634,408.31,5,"2",1,2,"low 32",1,2001,1,2,1.5,1,0,0,6,40934
"1685",1685,"https://bj.lianjia.com/chengjiao/101091687532.html","101091687532",116.402983,39.859787,1111027382519,"2016-06-17",104,40,238,37310,63.79,1,"1",1,1,"low 24",1,2002,4,6,0.375,1,1,0,2,50526
"1686",1686,"https://bj.lianjia.com/chengjiao/101091687627.html","101091687627",116.473966,39.93234,1111027379875,"2016-08-30",178,159,200,53634,37.29,1,"1",1,1,"low 6",4,1981,4,6,0.333,0,0,1,7,60949
"1687",1687,"https://bj.lianjia.com/chengjiao/101091687962.html","101091687962",116.448876,39.901694,1111027377312,"2016-09-29",209,57,655,73193,89.49,2,"1",1,1,"high 27",1,2004,1,6,0.267,1,0,1,1,79511
"1688",1688,"https://bj.lianjia.com/chengjiao/101091688247.html","101091688247",116.411853,39.974368,1111027375606,"2016-08-28",176,70,535,63382,84.41,3,"1",1,1,"bottom 18",1,1987,3,6,0.2,1,1,1,7,70240
"1689",1689,"https://bj.lianjia.com/chengjiao/101091688268.html","101091688268",116.260421,39.927665,1111027381744,"2016-06-20",108,34,290,61953,46.81,1,"1",1,1,"low 11",3,2002,3,6,0.2,1,1,0,8,63813
